display_name,estimate,localized_display_name,product_id,lat,lng,time
uberX,360,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.734883,-122.507491,2016-04-18 17:12:58.426543
uberXL,660,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.734883,-122.507491,2016-04-18 17:12:58.426543
uberSELECT,660,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.734883,-122.507491,2016-04-18 17:12:58.426543
UberBLACK,420,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.734883,-122.507491,2016-04-18 17:12:58.426543
UberSUV,420,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.734883,-122.507491,2016-04-18 17:12:58.426543
ASSIST,960,ASSIST,ff5ed8fe-6585-4803-be13-3ca541235de3,37.734883,-122.507491,2016-04-18 17:12:58.426543
uberWAV,1320,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.734883,-122.507491,2016-04-18 17:12:58.426543
uberX,360,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7397725714,-122.507491,2016-04-18 17:12:59.476086
uberXL,900,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7397725714,-122.507491,2016-04-18 17:12:59.476086
uberSELECT,1080,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7397725714,-122.507491,2016-04-18 17:12:59.476086
UberBLACK,540,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7397725714,-122.507491,2016-04-18 17:12:59.476086
UberSUV,540,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7397725714,-122.507491,2016-04-18 17:12:59.476086
uberWAV,1620,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7397725714,-122.507491,2016-04-18 17:12:59.476086
uberX,360,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7446621429,-122.507491,2016-04-18 17:13:00.220726
uberXL,540,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7446621429,-122.507491,2016-04-18 17:13:00.220726
uberSELECT,720,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7446621429,-122.507491,2016-04-18 17:13:00.220726
UberBLACK,420,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7446621429,-122.507491,2016-04-18 17:13:00.220726
UberSUV,420,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7446621429,-122.507491,2016-04-18 17:13:00.220726
uberWAV,1440,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7446621429,-122.507491,2016-04-18 17:13:00.220726
uberX,300,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7495517143,-122.507491,2016-04-18 17:13:00.989582
uberXL,540,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7495517143,-122.507491,2016-04-18 17:13:00.989582
uberSELECT,780,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7495517143,-122.507491,2016-04-18 17:13:00.989582
UberBLACK,360,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7495517143,-122.507491,2016-04-18 17:13:00.989582
UberSUV,360,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7495517143,-122.507491,2016-04-18 17:13:00.989582
uberWAV,1500,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7495517143,-122.507491,2016-04-18 17:13:00.989582
uberX,240,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7544412857,-122.507491,2016-04-18 17:13:01.797168
uberXL,540,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7544412857,-122.507491,2016-04-18 17:13:01.797168
uberSELECT,840,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7544412857,-122.507491,2016-04-18 17:13:01.797168
UberBLACK,360,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7544412857,-122.507491,2016-04-18 17:13:01.797168
UberSUV,360,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7544412857,-122.507491,2016-04-18 17:13:01.797168
uberWAV,1500,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7544412857,-122.507491,2016-04-18 17:13:01.797168
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7593308571,-122.507491,2016-04-18 17:13:03.608640
uberXL,600,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7593308571,-122.507491,2016-04-18 17:13:03.608640
uberSELECT,780,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7593308571,-122.507491,2016-04-18 17:13:03.608640
UberBLACK,360,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7593308571,-122.507491,2016-04-18 17:13:03.608640
UberSUV,360,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7593308571,-122.507491,2016-04-18 17:13:03.608640
uberWAV,1440,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7593308571,-122.507491,2016-04-18 17:13:03.608640
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7642204286,-122.507491,2016-04-18 17:13:04.606916
uberXL,600,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7642204286,-122.507491,2016-04-18 17:13:04.606916
uberSELECT,720,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7642204286,-122.507491,2016-04-18 17:13:04.606916
UberBLACK,300,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7642204286,-122.507491,2016-04-18 17:13:04.606916
UberSUV,300,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7642204286,-122.507491,2016-04-18 17:13:04.606916
uberWAV,1380,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7642204286,-122.507491,2016-04-18 17:13:04.606916
uberX,120,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.76911,-122.507491,2016-04-18 17:13:05.407031
uberXL,660,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.76911,-122.507491,2016-04-18 17:13:05.407031
uberSELECT,660,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.76911,-122.507491,2016-04-18 17:13:05.407031
UberBLACK,360,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.76911,-122.507491,2016-04-18 17:13:05.407031
UberSUV,360,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.76911,-122.507491,2016-04-18 17:13:05.407031
uberWAV,1380,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.76911,-122.507491,2016-04-18 17:13:05.407031
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7739995714,-122.507491,2016-04-18 17:13:06.295789
uberXL,720,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7739995714,-122.507491,2016-04-18 17:13:06.295789
uberSELECT,660,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7739995714,-122.507491,2016-04-18 17:13:06.295789
UberBLACK,360,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,37.7739995714,-122.507491,2016-04-18 17:13:06.295789
UberSUV,360,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,37.7739995714,-122.507491,2016-04-18 17:13:06.295789
uberWAV,1380,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,37.7739995714,-122.507491,2016-04-18 17:13:06.295789
uberX,180,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,37.7788891429,-122.507491,2016-04-18 17:13:07.225371
uberXL,780,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,37.7788891429,-122.507491,2016-04-18 17:13:07.225371
uberSELECT,660,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,37.7788891429,-122.507491,2016-04-18 17:13:07.225371
